city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
London,51.5074,-0.1278,2026-06-01 00:00:00+00:00,2,102.97,0.0,13.43,60.02,5.88,5.12,11.14,0.56
London,51.5074,-0.1278,2026-06-01 01:00:00+00:00,1,103.39,0.0,15.09,55.03,6.4,5.19,10.91,0.57
London,51.5074,-0.1278,2026-06-01 02:00:00+00:00,1,103.48,0.0,16.21,52.63,6.86,5.49,11.52,0.51
London,51.5074,-0.1278,2026-06-01 03:00:00+00:00,1,103.58,0.0,16.3,53.35,7.07,5.96,13.01,0.41
London,51.5074,-0.1278,2026-06-01 04:00:00+00:00,1,102.88,0.0,14.74,56.94,6.66,6.29,14.83,0.29
London,51.5074,-0.1278,2026-06-01 05:00:00+00:00,2,102.51,0.01,12.66,62.25,5.99,6.26,16.11,0.17
London,51.5074,-0.1278,2026-06-01 06:00:00+00:00,2,102.32,0.14,10.99,67.24,5.47,5.83,16.17,0.06
London,51.5074,-0.1278,2026-06-01 07:00:00+00:00,2,102.11,0.35,8.86,71.51,4.8,5.13,15.11,0.0
London,51.5074,-0.1278,2026-06-01 08:00:00+00:00,2,101.97,0.64,7.35,73.62,4.42,4.61,13.98,0.0
London,51.5074,-0.1278,2026-06-01 09:00:00+00:00,2,101.75,0.91,6.17,75.33,4.22,4.42,13.37,0.0
London,51.5074,-0.1278,2026-06-01 10:00:00+00:00,2,101.51,0.92,5.17,77.9,3.97,4.48,13.01,0.0
London,51.5074,-0.1278,2026-06-01 11:00:00+00:00,2,101.54,0.84,4.71,80.63,3.85,4.62,12.52,0.02
London,51.5074,-0.1278,2026-06-01 12:00:00+00:00,2,101.39,0.79,4.43,83.34,3.8,4.7,11.86,0.06
London,51.5074,-0.1278,2026-06-01 13:00:00+00:00,2,101.75,0.81,4.8,85.08,4.01,4.78,11.29,0.15
London,51.5074,-0.1278,2026-06-01 14:00:00+00:00,2,102.0,0.92,5.94,84.58,4.49,4.95,11.04,0.24
London,51.5074,-0.1278,2026-06-01 15:00:00+00:00,2,102.14,1.0,7.12,83.3,4.78,4.98,10.56,0.32
London,51.5074,-0.1278,2026-06-01 16:00:00+00:00,2,102.56,0.57,9.16,80.98,4.86,4.76,9.43,0.35
London,51.5074,-0.1278,2026-06-01 17:00:00+00:00,2,102.59,0.38,10.73,78.11,4.79,4.31,7.85,0.35
London,51.5074,-0.1278,2026-06-01 18:00:00+00:00,2,102.81,0.21,12.07,74.86,4.75,3.87,6.46,0.32
London,51.5074,-0.1278,2026-06-01 19:00:00+00:00,2,104.01,0.05,13.37,71.66,4.49,3.45,5.05,0.26
London,51.5074,-0.1278,2026-06-01 20:00:00+00:00,2,105.09,0.01,14.33,68.2,4.22,3.13,4.04,0.18
London,51.5074,-0.1278,2026-06-01 21:00:00+00:00,2,106.17,0.0,15.24,64.82,4.12,2.93,3.55,0.14
London,51.5074,-0.1278,2026-06-01 22:00:00+00:00,2,107.05,0.0,15.8,62.22,3.97,2.78,3.26,0.12
London,51.5074,-0.1278,2026-06-01 23:00:00+00:00,2,107.0,0.0,15.17,60.15,3.65,2.55,3.01,0.11
London,51.5074,-0.1278,2026-06-02 00:00:00+00:00,1,105.48,0.0,12.73,59.69,3.13,2.11,2.58,0.11
London,51.5074,-0.1278,2026-06-02 01:00:00+00:00,2,103.12,0.0,8.99,60.86,2.42,1.54,1.99,0.09
London,51.5074,-0.1278,2026-06-02 02:00:00+00:00,2,101.38,0.0,7.24,60.6,2.2,1.29,1.72,0.08
London,51.5074,-0.1278,2026-06-02 03:00:00+00:00,1,100.28,0.0,6.96,58.16,2.19,1.24,1.66,0.07
London,51.5074,-0.1278,2026-06-02 04:00:00+00:00,1,99.89,0.0,7.48,53.85,2.26,1.29,1.71,0.06
London,51.5074,-0.1278,2026-06-02 05:00:00+00:00,1,99.94,0.0,8.4,48.84,2.47,1.47,2.01,0.05
