city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,-18.8792,47.5079,2026-06-01 00:00:00+00:00,1,139.61,0.0,1.29,14.87,0.09,5.11,7.97,0.43
Antananarivo,-18.8792,47.5079,2026-06-01 01:00:00+00:00,1,141.13,0.01,1.28,14.44,0.11,4.99,7.45,0.56
Antananarivo,-18.8792,47.5079,2026-06-01 02:00:00+00:00,1,143.3,0.01,1.26,14.39,0.13,4.88,7.17,0.6
Antananarivo,-18.8792,47.5079,2026-06-01 03:00:00+00:00,1,146.92,0.01,1.28,14.68,0.15,4.9,7.2,0.69
Antananarivo,-18.8792,47.5079,2026-06-01 04:00:00+00:00,1,160.5,0.02,1.45,15.28,0.24,5.48,8.54,0.88
Antananarivo,-18.8792,47.5079,2026-06-01 05:00:00+00:00,1,177.37,0.26,1.32,16.72,0.3,6.25,10.16,0.87
Antananarivo,-18.8792,47.5079,2026-06-01 06:00:00+00:00,1,186.97,0.34,1.01,21.92,0.33,7.2,11.45,1.06
Antananarivo,-18.8792,47.5079,2026-06-01 07:00:00+00:00,1,91.77,0.05,0.2,38.97,0.17,2.22,3.52,0.45
Antananarivo,-18.8792,47.5079,2026-06-01 08:00:00+00:00,1,84.66,0.03,0.11,41.19,0.15,2.07,3.1,0.42
Antananarivo,-18.8792,47.5079,2026-06-01 09:00:00+00:00,1,83.75,0.02,0.09,41.37,0.14,2.17,3.16,0.43
Antananarivo,-18.8792,47.5079,2026-06-01 10:00:00+00:00,1,84.85,0.02,0.09,42.75,0.15,2.34,3.28,0.44
Antananarivo,-18.8792,47.5079,2026-06-01 11:00:00+00:00,1,86.2,0.03,0.11,43.46,0.15,2.52,3.45,0.47
Antananarivo,-18.8792,47.5079,2026-06-01 12:00:00+00:00,1,87.31,0.03,0.14,43.28,0.16,2.62,3.56,0.5
Antananarivo,-18.8792,47.5079,2026-06-01 13:00:00+00:00,1,100.79,0.06,0.36,39.54,0.22,3.24,4.58,0.8
Antananarivo,-18.8792,47.5079,2026-06-01 14:00:00+00:00,1,126.07,0.05,0.88,33.91,0.29,4.47,6.52,1.17
Antananarivo,-18.8792,47.5079,2026-06-01 15:00:00+00:00,1,154.61,0.0,1.51,29.42,0.33,5.87,8.71,1.26
Antananarivo,-18.8792,47.5079,2026-06-01 16:00:00+00:00,1,184.45,0.0,1.97,25.74,0.38,7.28,10.95,1.19
Antananarivo,-18.8792,47.5079,2026-06-01 17:00:00+00:00,1,215.1,0.0,2.3,23.12,0.4,8.62,12.88,1.04
Antananarivo,-18.8792,47.5079,2026-06-01 18:00:00+00:00,1,237.23,0.0,2.45,21.42,0.38,9.44,13.64,0.94
Antananarivo,-18.8792,47.5079,2026-06-01 19:00:00+00:00,1,248.64,0.0,2.45,20.49,0.36,9.79,13.37,0.94
Antananarivo,-18.8792,47.5079,2026-06-01 20:00:00+00:00,2,261.17,0.0,2.52,19.11,0.34,10.27,13.74,0.95
