city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Washington,38.9072,-77.0369,2026-07-01 00:00:00+00:00,2,120.3,0.06,4.54,96.38,1.46,5.65,8.1,0.62
Washington,38.9072,-77.0369,2026-07-01 01:00:00+00:00,2,119.66,0.0,4.89,87.1,1.5,5.58,8.45,0.7
Washington,38.9072,-77.0369,2026-07-01 02:00:00+00:00,2,120.27,0.0,4.95,78.6,1.49,5.76,9.17,0.76
Washington,38.9072,-77.0369,2026-07-01 03:00:00+00:00,2,121.24,0.0,5.06,70.64,1.43,6.11,10.01,0.81
Washington,38.9072,-77.0369,2026-07-01 04:00:00+00:00,2,119.15,0.0,4.89,63.01,1.33,6.35,10.64,0.81
Washington,38.9072,-77.0369,2026-07-01 05:00:00+00:00,1,115.87,0.0,4.44,57.78,1.26,6.38,11.04,0.83
Washington,38.9072,-77.0369,2026-07-01 06:00:00+00:00,1,111.68,0.0,3.96,53.99,1.18,6.12,10.99,0.84
Washington,38.9072,-77.0369,2026-07-01 07:00:00+00:00,1,107.04,0.0,3.52,50.86,1.08,5.68,10.57,0.83
Washington,38.9072,-77.0369,2026-07-01 08:00:00+00:00,1,103.9,0.0,3.19,47.66,0.98,5.25,10.1,0.78
Washington,38.9072,-77.0369,2026-07-01 09:00:00+00:00,1,101.74,0.0,3.0,44.56,0.89,4.89,9.69,0.71
Washington,38.9072,-77.0369,2026-07-01 10:00:00+00:00,1,100.2,0.0,2.93,41.26,0.84,4.59,9.34,0.64
Washington,38.9072,-77.0369,2026-07-01 11:00:00+00:00,1,101.89,0.06,3.24,38.03,0.84,4.42,9.19,0.65
Washington,38.9072,-77.0369,2026-07-01 12:00:00+00:00,1,107.47,0.57,3.36,36.44,0.9,4.41,9.26,0.7
Washington,38.9072,-77.0369,2026-07-01 13:00:00+00:00,1,113.12,1.03,3.09,39.35,1.02,4.59,9.55,0.8
Washington,38.9072,-77.0369,2026-07-01 14:00:00+00:00,1,116.07,0.9,2.67,48.84,1.16,5.04,10.04,0.89
Washington,38.9072,-77.0369,2026-07-01 15:00:00+00:00,2,118.53,0.51,2.0,65.71,1.35,6.19,11.17,0.92
Washington,38.9072,-77.0369,2026-07-01 16:00:00+00:00,2,120.89,0.28,1.43,86.45,1.78,7.92,12.45,0.72
Washington,38.9072,-77.0369,2026-07-01 17:00:00+00:00,2,120.85,0.22,1.3,95.22,1.83,8.88,12.96,0.55
