city,lat,lon,datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
London,51.5074,-0.1278,2026-04-24 00:00:00+00:00,3,135.71,0.0,4.68,107.34,3.24,4.51,7.93,1.4
London,51.5074,-0.1278,2026-04-24 01:00:00+00:00,3,135.51,0.0,4.88,103.76,3.38,5.28,8.68,1.39
London,51.5074,-0.1278,2026-04-24 02:00:00+00:00,3,135.82,0.0,5.02,100.54,3.48,5.99,9.48,1.44
London,51.5074,-0.1278,2026-04-24 03:00:00+00:00,2,135.75,0.0,5.1,97.24,3.54,6.89,10.47,1.46
London,51.5074,-0.1278,2026-04-24 04:00:00+00:00,2,135.67,0.0,5.18,94.24,3.54,7.83,11.44,1.44
London,51.5074,-0.1278,2026-04-24 05:00:00+00:00,2,135.46,0.0,5.35,91.4,3.52,8.63,12.19,1.39
London,51.5074,-0.1278,2026-04-24 06:00:00+00:00,2,135.73,0.05,5.87,89.12,3.54,9.35,12.84,1.36
London,51.5074,-0.1278,2026-04-24 07:00:00+00:00,2,136.66,0.46,6.25,87.65,3.56,9.77,13.21,1.44
London,51.5074,-0.1278,2026-04-24 08:00:00+00:00,2,137.77,1.04,6.23,87.47,3.59,10.05,13.43,1.54
London,51.5074,-0.1278,2026-04-24 09:00:00+00:00,2,138.32,1.43,6.11,89.33,3.62,10.04,13.33,1.57
London,51.5074,-0.1278,2026-04-24 10:00:00+00:00,2,138.62,1.55,5.8,93.97,3.65,9.98,13.15,1.43
London,51.5074,-0.1278,2026-04-24 11:00:00+00:00,2,138.94,1.48,5.39,99.77,3.73,9.68,12.79,1.21
London,51.5074,-0.1278,2026-04-24 12:00:00+00:00,3,138.61,1.28,4.81,106.77,3.77,9.52,12.63,0.97
London,51.5074,-0.1278,2026-04-24 13:00:00+00:00,3,138.54,1.06,4.3,113.67,3.87,9.83,13.06,0.81
London,51.5074,-0.1278,2026-04-24 14:00:00+00:00,3,137.99,0.9,3.97,119.49,3.93,10.24,13.61,0.74
London,51.5074,-0.1278,2026-04-24 15:00:00+00:00,3,136.31,0.75,3.73,124.32,3.85,9.62,12.99,0.79
London,51.5074,-0.1278,2026-04-24 16:00:00+00:00,3,134.97,0.64,3.77,127.02,3.77,8.29,11.65,0.87
London,51.5074,-0.1278,2026-04-24 17:00:00+00:00,3,133.39,0.51,4.02,126.79,3.68,7.08,10.48,0.94
London,51.5074,-0.1278,2026-04-24 18:00:00+00:00,3,132.09,0.31,4.54,124.38,3.62,6.1,9.68,1.06
London,51.5074,-0.1278,2026-04-24 19:00:00+00:00,3,131.24,0.07,5.16,120.77,3.6,5.27,9.09,1.19
London,51.5074,-0.1278,2026-04-24 20:00:00+00:00,3,130.66,0.0,5.55,116.09,3.65,4.78,8.7,1.31
London,51.5074,-0.1278,2026-04-24 21:00:00+00:00,3,131.01,0.0,6.14,110.53,3.78,4.47,8.45,1.51
London,51.5074,-0.1278,2026-04-24 22:00:00+00:00,3,131.58,0.0,6.74,104.9,3.93,4.45,8.45,1.67
London,51.5074,-0.1278,2026-04-24 23:00:00+00:00,3,132.91,0.0,7.19,100.48,4.07,4.66,8.72,1.71
London,51.5074,-0.1278,2026-04-25 00:00:00+00:00,2,133.78,0.0,7.45,96.94,4.19,4.99,9.12,1.65
